"Beschreibung","ID"
"Bosnisch",1284
"USA/SLO",1286
"serb.montenegro",1287
"serbisch",1288
"französich",1289
"A",1291
"holländisch",1292
"Kenia",1293
"madegaschi",1294
"+ amerikanisch",1295
"St. Lucianer",1296
"lettisch",1297
"Iran",1298
"japanisch",1299
"österr. + südafr.",1304
"italiano",1306
"Ukrainerin",1308
"deutsch",1054
"Serbien-Montenegro",1310
"Jugoslawisch/Kosovo",1311
"",1056
"ungarisch",1312
"andere",1057
"chinesisch",1058
"österreichisch",1059
"Thailand",1315
"italienisch",1060
"EU",1061
"maltesisch",1317
"Portugiesisch",1318
"niederländisch",1064
"schweizerisch",1320
"kenianisch",1065
"Tschechische Republick",1321
"kroatisch",1066
"brasilianisch",1067
"weißrussisch",1323
"polnisch",1069
"Bolivien",1326
"türkisch",1071
"österr.",1327
"Grieche",1329
"portugiesisch",1074
"Burundi",1331
"amerikanisch",1076
"Brittisch",1333
"österreich",1081
"Albanien",1338
"Nigeria",1339
"GB",1340
"mazedonisch",1341
"britisch",1086
"Togolaise",1343
"Schweizer",1088
"pakistanisch",1344
"Thai",1089
"österreichschich/norwegisch",1345
"litauisch",1091
"Portugal",1347
"griechisch",1092
"Italienisch-Österr.",1348
"schweizerisch ",1093
"guatemaltekisch",1349
"belgisch",1094
"nicht bekannt",1350
"Portugiesich",1352
"lettisch",1102
"französisch",1103
"spanisch",1104
"british",1360
"marokkanisch",1361
"Togo",1106
"albanisch",1107
"Niederländer",1364
"Sri Lanka",1110
"estnisch",1366
"Indien",1111
"Eritrea",1112
"slowakisch",1370
"Serbe",1115
"Algerisch",1372
"indonesisch",1117
"griech.",1373
"yugoslawisch",1118
"englisch/plonisch",1119
"irisch",1375
"bosnisch-herzegow.",1120
"Jugoslawisch",1376
"Italienisch",1121
"Irisch",1122
"libanesisch",1123
"iranisch",1124
"Bulgarien/Belgien",1380
"polnisch/italiensch",1381
"amerikanisch",1126
"salvadorianisch",1127
"Russische Föderation",1384
"US",1129
"Rumänisch",1385
"Ungarn",1130
"U.S. Amerikaner",1386
"SERBIEN",1387
"Spanisch",1132
"ukrainisch",1133
"Belgier",1389
"eritreisch",1134
"philippinisch",1135
"Ghana",1391
"jugoslawisch",1137
"Amerikaner",1393
"tschechisch",1138
"kongolesisch",1394
"portugisiesch",1395
"Bosnien und Herzegowina",1140
"Portugisiesch",1396
"Türkisch",1141
"nigerianisch",1397
"bosnisch",1142
"Indonesisch",1398
"British",1143
"griechisch-amerikanisch",1399
"portugisisch",1144
"CH",1146
"Malaysian",1405
"Filipina",1150
"vietnam",1151
"Kroatien",1152
"venezuelanisch",1408
"Brasilien",1410
"niederländer",1155
"U.S.Amerikaner",1411
"vietnamesisch",1156
"ECU",1412
"Luxemburgisch",1413
"Britisch",1158
"Österreich",1159
"amerikanisch / polnisch",1415
"kanadisch",1160
"schweiz",1416
"Thailänder",1417
"Irakisch",1162
"Peru",1418
"Italien",1163
"Kirgystan",1164
"australisch",1420
"GB (EU) / USA",1421
"Tschad",1166
"bolivisch",1422
"Bosnien",1167
"ital./portug.",1168
"frz",1426
"Portugisisch",1427
"croatisch",1173
"Haiti",1429
"Kroatisch",1174
"Belgisch",1175
"russisch",1176
"Mexikaner",1432
"Kongolese",1433
"irakisch",1179
"mexikanisch",1435
"Französisch",1180
"brasilianische",1436
"Kanadisch / Niederländisch",1437
"rumänisch",1182
"moldawisch",1183
"US-Amerikaner",1439
"Albanisch",1184
"niederländiscch",1440
"Neiderländisch / Englisch",1185
"Ägypten",1441
"jugosl.",1186
"und spanisch",1442
"bolivianisch",1187
"Amerikanerin",1443
"+italienisch",1444
"Brasilien / Österreich",1446
"chilenisch",1191
"Polen",1447
"Serbisch",1192
"kazachstan",1193
"US-amerikanisch",1194
"Kongo",1450
"thailändisch",1451
"Amerikanisch",1196
"und australisch",1452
"togoisch",1453
"Slowenien",1199
"Kurdisch",1455
"Russisch",1200
"Philippiner",1456
"tschetschenisch",1457
"Mosambik",1458
"Schweiz",1203
"Guatemala",1459
"Brasilianisch",1460
"Kroate",1205
"Äthopien",1461
"usbekisch",1462
"Indisch",1463
"USA / GB(EU)",1465
"vietnamesich",1210
"Britsch",1466
"syrisch",1211
"Japanisch",1467
"Tai",1468
"Türkei",1213
"F",1214
"Ukraine",1215
"Weißrussland",1471
"slowenisch",1216
"Äthiopisch",1472
"luxemburgisch",1218
"Rumänien",1219
"+ Spanisch",1475
"Serbien",1220
"Kenianer",1476
"Griechisch",1221
"kroatische",1477
"kosovarisch",1222
"Litauisch",1479
"kasachisch",1225
"Südkorea",1481
"tunesisch",1482
"kamerunesisch",1229
"philipino",1233
"phillipino",1234
"port.",1235
"luxemb.",1236
"N-amerikanisch",1237
"F - CH",1238
"NL",1239
"theiländisch",1243
"Vietnam",1246
"Bulgarien",1247
"bulgarisch",1250
"norwegisch",1251
"rwander",1252
"ägypt.",1254
"B",1255
"dänisch",1259
"türk.",1261
"Syrisch",1262
"domenikanisch",1263
"tamilisch",1265
"äthiopisch",1266
"pl",1268
"griechisch",1269
"Togolesisch",1271
"kamerunisch",1272
"Polnisch",1273
"persisch",1276
"Irak",1277
"Ukrainisch",1278
"Tschechisch",1279
